"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.18060902575145e-05" "7.9363698812721e-07" "3.97254177799597e-05" "4.2555894741964e-06" "3.97254177799596e-05" "1.27667684225892e-05" "0.00629951947100617" "0.00629951947100617" "0.00561660811298506" "0.00412106232364197"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.02015459632986e-05" "8.23036508719468e-07" "3.35188340449261e-05" "2.64870892086437e-06" "3.35188340449261e-05" "7.9461267625931e-06" "0.0057815611177501" "0.0057815611177501" "0.00523039424938787" "0.00419547925910301"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "2.92409152629923e-05" "7.24179628351015e-07" "3.38926839188184e-05" "1.42561954718186e-06" "3.38926839188184e-05" "4.27685864154557e-06" "0.00578172857554748" "0.00578172857554748" "0.00561269354798846" "0.00417246458976998"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.06267776684941e-05" "7.38985420128217e-07" "3.7323862304777e-05" "1.782075393808e-06" "3.7323862304777e-05" "5.34622618142399e-06" "0.00609110917755098" "0.00609110917755098" "0.00557478857707512" "0.00452197050528258"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.16328869010989e-05" "8.00652593145555e-07" "3.34120382890754e-05" "2.49244386939714e-06" "3.34120382890754e-05" "7.47733160819141e-06" "0.00575728489306925" "0.00575728489306925" "0.00519340194250284" "0.00366658788469972"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "2.92494082913556e-05" "7.33560137902688e-07" "4.61673284213624e-05" "4.05683837562641e-06" "4.61673284213624e-05" "1.21705151268792e-05" "0.00648417862931067" "0.00648417862931067" "0.0059215657781507" "0.00465932904160766"
"lm" "svmRadial" "1" "3" "0" "0.05" "3" "3" "5.49782317316893e-05" "7.5303652254727e-07" "4.45301136979151e-05" "1.95592305080326e-06" "4.45301136979151e-05" "5.86776915240978e-06" "0.00652091026757287" "0.00652091026757287" "0.00665511731154963" "0.00529092050994096"
"lm" "svmRadial" "1" "3" "0" "0.03" "3" "3" "4.20544997837653e-05" "6.45619712436576e-07" "3.6136111017755e-05" "2.05711033348537e-06" "3.6136111017755e-05" "6.17133100045611e-06" "0.00604630466731029" "0.00604630466731029" "0.00597956977854836" "0.00434750214256354"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "4.36869892113858e-05" "7.834462775948e-07" "4.66034523023772e-05" "4.06890889214853e-06" "4.66034523023772e-05" "1.22067266764456e-05" "0.00681871523714582" "0.00681871523714582" "0.00659907580648647" "0.0056162058672359"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.90372215358779e-05" "7.94562903297245e-07" "4.12859624788356e-05" "2.89192095316078e-06" "4.12859624788356e-05" "8.67576285948235e-06" "0.00654234702096463" "0.00654234702096463" "0.00599289410058693" "0.00484182896304429"
