"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.06309777754955e-06" "5.71824287231857e-06" "9.12291030669796e-07" "4.73547056342355e-05" "9.12291030669796e-07" "4.73547056342355e-05" "0.045901989398079" "0.045901989398079" "0.000953372906291637" "0.0133115621811888"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "8.67031345262778e-07" "7.15501559135634e-06" "1.04446504025796e-06" "2.66809261576558e-05" "1.04446504025796e-06" "2.66809261576558e-05" "0.0479221689604539" "0.0479221689604539" "0.00102823185213738" "0.0115073440548356"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.0149346528968e-07" "6.6985580423155e-06" "9.9000978637836e-07" "0.000112005176751489" "9.9000978637836e-07" "0.000112005176751489" "0.0493512397290711" "0.0493512397290711" "0.000993910638047559" "0.0148972156983682"
"1" "lm" "svmRadial" "1" "1.77971748026074" "0" "0.01" "3" "3" "9.70218760890006e-07" "6.76530193765014e-06" "1.12969042405302e-06" "3.25208600613007e-05" "1.12969042405302e-06" "5.78779431242103e-05" "0.0457278205789586" "0.0457278205789586" "0.00105634595504551" "0.0188472403567719"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "8.49705950084848e-07" "6.73043257921198e-06" "1.02366252705212e-06" "5.37831899388222e-05" "1.02366252705212e-06" "5.37831899388222e-05" "0.0474819498905889" "0.0474819498905889" "0.00101322378526818" "0.0177976732142143"
"1" "lm" "svmRadial" "1" "1.66784980258899" "0" "0.01" "3" "3" "1.01331153067411e-06" "7.01249412158729e-06" "1.02802852436799e-06" "4.67744785724161e-05" "1.02802852436799e-06" "7.80128048532074e-05" "0.0476576024605874" "0.0476576024605874" "0.0010114748669154" "0.0195299873472346"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.60846754403994e-07" "7.1676989284783e-06" "1.06608375945753e-06" "0.000118735288632808" "1.06608375945753e-06" "0.000118735288632808" "0.0514922614120289" "0.0514922614120289" "0.00103422121319505" "0.0197261385967078"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.06563983951521e-06" "6.22084781030231e-06" "9.79128576213498e-07" "9.01105532329055e-05" "9.79128576213498e-07" "9.01105532329055e-05" "0.0476704042305986" "0.0476704042305986" "0.000988621881570534" "0.0116933573650198"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.05886274451816e-06" "7.19004426350607e-06" "1.04678741505871e-06" "3.66403996441728e-05" "1.04678741505871e-06" "3.66403996441728e-05" "0.0492306450686804" "0.0492306450686804" "0.00102198689251306" "0.0207964503282139"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.54889540883013e-07" "6.26184915540776e-06" "9.2738868865156e-07" "0.000107699500084103" "9.2738868865156e-07" "0.000107699500084103" "0.0490333976906752" "0.0490333976906752" "0.000961685633504009" "0.01599214759972"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.70188157130957e-07" "6.59500969833624e-06" "1.05625177354373e-06" "9.64392353162026e-05" "1.05625177354373e-06" "9.64392353162026e-05" "0.0496314687803964" "0.0496314687803964" "0.00102428993762107" "0.0174931286289461"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.73260855317757e-07" "6.89622802304369e-06" "1.04131006010436e-06" "3.48316228311299e-05" "1.04131006010436e-06" "3.48316228311299e-05" "0.0472308045367755" "0.0472308045367755" "0.00102094219928609" "0.0175385519546414"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.00648565991405e-06" "7.40067735521454e-06" "9.32657411250045e-07" "4.50555606915102e-05" "9.32657411250045e-07" "4.50555606915102e-05" "0.0484907340963882" "0.0484907340963882" "0.000970813851365832" "0.0181450733165998"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.26636590767954e-07" "7.06358809161047e-06" "8.87817078837706e-07" "6.04236989235679e-05" "8.87817078837706e-07" "6.04236989235679e-05" "0.0501318963234633" "0.0501318963234633" "0.000939876435788035" "0.0175592374271088"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.31504725334344e-07" "7.04692793893763e-06" "1.04961627037999e-06" "6.07569152005482e-05" "1.04961627037999e-06" "6.07569152005482e-05" "0.0508190752092366" "0.0508190752092366" "0.00102118306122581" "0.020663335853491"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.87391709611808e-07" "6.52457442426498e-06" "1.00145516339571e-06" "0.00013783264101111" "1.00145516339571e-06" "0.00013783264101111" "0.0499576976858638" "0.0499576976858638" "0.00100208758919248" "0.0238553554091269"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.56583402334432e-07" "6.36539160518728e-06" "1.05934862967072e-06" "4.24537076267985e-05" "1.05934862967072e-06" "4.24537076267985e-05" "0.048611054419949" "0.048611054419949" "0.00103170808942152" "0.0141350627956043"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.48540383665286e-07" "6.70665779351194e-06" "9.68796418112484e-07" "8.34490646800738e-05" "9.68796418112484e-07" "8.34490646800738e-05" "0.0481776599768448" "0.0481776599768448" "0.000986107840755973" "0.0144713177508315"
"1" "lm" "svmRadial" "1" "1.58486731887093" "0" "0.01" "3" "3" "1.05082172001197e-06" "6.0601359082335e-06" "9.49901142950278e-07" "7.90516088533036e-05" "9.49901142950278e-07" "0.000125286311375768" "0.0481134297992605" "0.0481134297992605" "0.000972976817382219" "0.0173836984611293"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.0604653142738e-06" "7.06886885188057e-06" "9.03874442331233e-07" "7.7244918767198e-05" "9.03874442331233e-07" "7.7244918767198e-05" "0.0499406247384188" "0.0499406247384188" "0.000949843223227811" "0.0234539615424151"
